Node Number	Directional Deformation (m)
5146	9.4395e-010
5147	1.8818e-009
5148	9.7696e-010
5149	1.1268e-009
5150	1.3533e-009
5151	1.5957e-009
5152	1.7892e-009
5153	8.7956e-010
5154	1.9462e-009
5155	1.864e-009
5156	1.6924e-009
5157	1.4654e-009
5158	1.2281e-009
5159	1.0273e-009
5160	9.0294e-010
5161	1.9071e-009
5162	9.1867e-010
5163	1.8454e-009
5164	1.7179e-009
5165	1.544e-009
5166	1.35e-009
5167	1.1657e-009
5168	1.019e-009
5169	9.3224e-010
5170	1.947e-009
5171	8.7871e-010
5172	8.9337e-010
5173	9.8713e-010
5174	1.1457e-009
5175	1.345e-009
5176	1.5546e-009
5177	1.7426e-009
5178	1.8804e-009
5179	9.8537e-010
5180	1.8404e-009
5181	1.2462e-009
5182	1.6737e-009
5183	9.6714e-010
5184	9.8034e-010
5185	1.1079e-009
5186	1.2818e-009
5187	1.4757e-009
5188	1.6601e-009
5189	1.8068e-009
5190	1.8935e-009
5191	1.8586e-009
5192	2.4608e-009
5193	2.6275e-009
5194	2.5401e-009
5195	2.606e-009
5196	2.6349e-009
5197	2.483e-009
5198	2.4765e-009
5199	2.644e-009
5200	2.6429e-009
5201	2.6119e-009
5202	2.555e-009
5203	2.6444e-009
5204	3.4261e-010
5205	5.1577e-010
5206	4.1898e-010
5207	4.8645e-010
5208	5.2226e-010
5209	3.6486e-010
5210	3.497e-010
5211	5.3963e-010
5212	5.3793e-010
5213	5.017e-010
5214	4.3339e-010
5215	5.1968e-010
5216	1.8404e-009
5217	9.8537e-010
5218	1.6737e-009
5219	1.2462e-009
5220	1.9473e-009
5221	1.8717e-009
5222	8.785e-010
5223	1.2045e-009
5224	1.739e-009
5225	9.5407e-010
5226	2.2679e-009
5227	2.0542e-009
5228	2.2263e-009
5229	2.1194e-009
5230	2.2679e-009
5231	2.0541e-009
5232	2.2263e-009
5233	2.1194e-009
5234	7.7166e-010
5235	5.5793e-010
5236	7.2995e-010
5237	6.2308e-010
5238	7.7163e-010
5239	5.579e-010
5240	7.2993e-010
5241	6.2306e-010
5242	1.6149e-009
5243	1.4011e-009
5244	1.5733e-009
5245	1.4664e-009
5246	1.6149e-009
5247	1.4011e-009
5248	1.5733e-009
5249	1.4664e-009
5250	1.4245e-009
5251	1.2109e-009
5252	1.3828e-009
5253	1.276e-009
5254	1.4245e-009
5255	1.2109e-009
5256	1.3829e-009
5257	1.2761e-009
5258	1.5796e-009
5259	1.1521e-009
5260	1.1521e-009
5261	1.5795e-009
5262	1.6219e-009
5263	1.2038e-009
5264	1.4944e-009
5265	1.2853e-009
5266	1.0936e-009
5267	1.7322e-009
5268	1.5374e-009
5269	1.2181e-009
5270	1.5198e-009
5271	1.306e-009
5272	1.4545e-009
5273	1.3477e-009
5274	1.306e-009
5275	1.5198e-009
5276	1.4545e-009
5277	1.3477e-009
5278	1.4129e-009
5279	4.5176e-010
5280	2.375e-009
5281	5.6729e-010
5282	9.9216e-010
5283	1.7392e-009
5284	2.0873e-009
5285	2.3748e-009
5286	2.3749e-009
5287	4.5103e-010
5288	6.4649e-010
5289	1.2905e-009
5290	2.0063e-009
5291	4.5106e-010
5292	2.4826e-009
5293	2.4812e-009
5294	2.56e-009
5295	2.6078e-009
5296	2.6066e-009
5297	2.5585e-009
5298	3.4558e-010
5299	1.767e-009
5300	1.0571e-009
5301	3.43e-010
5302	4.2458e-010
5303	4.7526e-010
5304	4.7579e-010
5305	4.1562e-010
5306	1.7692e-009
5307	1.0561e-009
5308	2.3786e-009
5309	2.5852e-009
5310	2.4474e-009
5311	2.5162e-009
5312	2.6047e-009
5313	2.6235e-009
5314	2.3171e-009
5315	2.4132e-009
5316	2.3548e-009
5317	2.3217e-009
5318	2.3389e-009
5319	2.3589e-009
5320	2.4079e-009
5321	2.3609e-009
5322	2.3579e-009
5323	2.4048e-009
5324	1.7144e-010
5325	1.6505e-010
5326	1.9306e-010
5327	2.5815e-010
5328	4.517e-010
5329	4.9422e-010
5330	4.7179e-010
5331	2.3286e-010
5332	3.0655e-010
5333	3.791e-010
5334	2.116e-010
5335	1.9344e-010
5336	2.7443e-010
5337	2.0524e-010
5338	2.0926e-010
5339	2.6112e-010
5340	1.9305e-009
5341	1.2344e-009
5342	1.8189e-010
5343	2.7626e-010
5344	2.1279e-010
5345	1.7684e-010
5346	2.2986e-009
5347	1.5557e-009
5348	8.9086e-010
5349	2.3023e-009
5350	2.3304e-009
5351	2.3912e-009
5352	2.2325e-009
5353	1.8315e-009
5354	1.2262e-009
5355	7.1161e-010
5356	2.5063e-010
5357	2.0034e-010
5358	2.2462e-010
5359	2.3546e-009
5360	1.6538e-009
5361	9.5283e-010
5362	2.3403e-009
5363	2.3188e-009
5364	4.7604e-010
5365	4.58e-010
5366	2.5675e-009
5367	1.8694e-009
5368	1.1732e-009
5369	2.586e-009
5370	2.3762e-009
5371	2.3175e-010
5372	4.9584e-010
5373	5.1812e-010
5374	2.6078e-009
5375	2.5894e-009
5376	2.1796e-009
5377	1.5352e-009
5378	8.1908e-010
5379	1.6211e-009
5380	1.0869e-009
5381	2.0958e-009
5382	2.2027e-009
5383	5.9962e-010
5384	7.0649e-010
5385	1.4428e-009
5386	1.5497e-009
5387	1.2525e-009
5388	1.3593e-009
5389	1.3712e-009
5390	1.4781e-009
5391	1.3712e-009
5392	1.4781e-009
5393	1.3314e-009
5394	1.5404e-009
5395	1.2884e-009
5396	1.6077e-009
5397	1.8488e-009
5398	1.699e-009
5399	1.4725e-009
5400	1.2301e-009
5401	1.0366e-009
5402	9.618e-010
5403	1.1334e-009
5404	1.3603e-009
5405	1.5977e-009
5406	1.7984e-009
5407	1.9228e-009
5408	1.9324e-009
5409	1.8386e-009
5410	1.68e-009
5411	1.4808e-009
5412	1.2712e-009
5413	1.0832e-009
5414	9.4537e-010
5415	1.2525e-009
5416	1.3593e-009
5417	1.4428e-009
5418	1.5497e-009
5419	5.9965e-010
5420	7.0652e-010
5421	2.0958e-009
5422	2.2027e-009
5423	1.6796e-010
5424	2.3143e-009
5425	1.0698e-009
5426	1.014e-009
5427	1.4672e-009
5428	1.8103e-009
5429	1.8399e-009
5430	2.5031e-009
5431	2.4829e-009
5432	2.5764e-009
5433	2.6263e-009
5434	2.633e-009
5435	2.6333e-009
5436	2.6513e-009
5437	2.6476e-009
5438	2.6311e-009
5439	2.5864e-009
5440	2.5204e-009
5441	2.5021e-009
5442	3.8831e-010
5443	3.6192e-010
5444	4.5518e-010
5445	5.1112e-010
5446	5.206e-010
5447	5.2017e-010
5448	5.4444e-010
5449	5.4298e-010
5450	5.2399e-010
5451	4.7005e-010
5452	4.0026e-010
5453	3.8208e-010
5454	1.8103e-009
5455	1.0698e-009
5456	9.8402e-010
5457	1.4808e-009
5458	1.9097e-009
5459	2.2679e-009
5460	2.0542e-009
5461	7.7164e-010
5462	5.5791e-010
5463	1.6149e-009
5464	1.4011e-009
5465	1.4245e-009
5466	1.2109e-009
5467	1.7559e-009
5468	1.8117e-009
5469	1.3585e-009
5470	1.0155e-009
5471	9.8587e-010
5472	9.8537e-010
5473	1.0155e-009
5474	1.7559e-009
5475	1.8404e-009
5476	4.6271e-010
5477	2.2938e-009
5478	2.375e-009
5479	2.3748e-009
5480	4.7762e-010
5481	9.3192e-010
5482	1.6677e-009
5483	2.2546e-009
5484	4.5116e-010
5485	4.5104e-010
5486	2.4131e-009
5487	2.3961e-009
5488	2.5504e-009
5489	2.5677e-009
5490	2.5952e-009
5491	2.5904e-009
5492	2.6132e-009
5493	2.6345e-009
5494	2.6398e-009
5495	2.4368e-009
5496	2.4656e-009
5497	2.382e-009
5498	2.3359e-009
5499	2.319e-009
5500	2.3144e-009
5501	2.3286e-009
5502	2.3221e-009
5503	2.3494e-009
5504	2.3682e-009
5505	2.3737e-009
5506	1.5833e-010
5507	1.6652e-010
5508	1.7259e-010
5509	2.2014e-010
5510	3.0179e-010
5511	3.2106e-010
5512	5.0493e-010
5513	5.0957e-010
5514	4.8372e-010
5515	4.613e-010
5516	4.5606e-010
5517	2.7008e-010
5518	2.5156e-010
5519	4.1556e-010
5520	4.344e-010
5521	2.2155e-010
5522	2.2905e-010
5523	2.02e-010
5524	1.8203e-010
5525	1.7639e-010
5526	2.2777e-009
5527	2.4512e-009
5528	8.8725e-010
5529	7.1424e-010
5530	3.2213e-010
5531	3.4211e-010
5532	2.4126e-010
5533	1.8964e-010
5534	1.7773e-010
5535	1.7893e-010
5536	1.9442e-009
5537	2.1203e-009
5538	5.3946e-010
5539	3.6279e-010
5540	2.293e-009
5541	2.2945e-009
5542	2.3119e-009
5543	2.3576e-009
5544	2.4238e-009
5545	2.4445e-009
5546	2.3636e-009
5547	5.3605e-010
5548	1.9245e-010
5549	1.8835e-010
5550	2.0902e-010
5551	2.3591e-010
5552	2.3486e-010
5553	2.0047e-009
5554	2.1797e-009
5555	6.0201e-010
5556	4.2675e-010
5557	2.3486e-009
5558	2.354e-009
5559	2.3309e-009
5560	2.3083e-009
5561	2.3023e-009
5562	2.218e-009
5563	2.3925e-009
5564	8.245e-010
5565	6.5005e-010
5566	4.8458e-010
5567	4.7583e-010
5568	5.0488e-010
5569	5.279e-010
5570	5.3259e-010
5571	2.6201e-009
5572	2.6264e-009
5573	2.5972e-009
5574	2.5808e-009
5575	2.575e-009
5576	2.3485e-009
5577	1.8941e-009
5578	1.1577e-009
5579	5.709e-010
5580	1.8416e-009
5581	1.3449e-009
5582	9.1618e-010
5583	2.4717e-009
5584	2.3145e-009
5585	2.4524e-009
5586	2.3108e-009
5587	2.4248e-009
5588	2.3931e-009
5589	2.3622e-009
5590	2.3391e-009
5591	2.3227e-009
5592	2.314e-009
5593	3.3782e-010
5594	1.6635e-010
5595	1.6448e-010
5596	3.1451e-010
5597	1.612e-010
5598	1.6886e-010
5599	1.8369e-010
5600	2.0888e-010
5601	2.3967e-010
5602	2.8227e-010
5603	1.0655e-009
5604	1.7019e-009
5605	1.4721e-009
5606	1.7603e-009
5607	1.1238e-009
5608	1.3537e-009
5609	5.2025e-010
5610	3.7444e-010
5611	3.7454e-010
5612	5.2466e-010
5613	4.0363e-010
5614	4.4196e-010
5615	4.7636e-010
5616	5.0522e-010
5617	5.2145e-010
5618	5.3033e-010
5619	2.4914e-009
5620	2.645e-009
5621	2.6486e-009
5622	2.5099e-009
5623	2.6451e-009
5624	2.6393e-009
5625	2.6227e-009
5626	2.6e-009
5627	2.5706e-009
5628	2.5376e-009
5629	2.1235e-009
5630	9.6177e-010
5631	6.7784e-010
5632	1.8148e-009
5633	1.9947e-009
5634	8.2613e-010
5635	1.3e-009
5636	1.5755e-009
5637	1.5678e-009
5638	1.2569e-009
5639	2.6363e-009
5640	2.5927e-009
5641	2.6189e-009
5642	2.628e-009
5643	2.6007e-009
5644	2.6093e-009
5645	2.3213e-009
5646	2.3689e-009
5647	2.3519e-009
5648	2.3314e-009
5649	2.3616e-009
5650	2.3423e-009
5651	5.1591e-010
5652	4.5764e-010
5653	1.7634e-010
5654	2.2892e-010
5655	1.8618e-010
5656	1.914e-009
5657	1.5753e-009
5658	8.9947e-010
5659	1.7494e-009
5660	1.204e-009
5661	2.284e-009
5662	6.6716e-010
