Node Number	Directional Heat Flux (W/m²)
5146	-1.041e-006
5147	-1.009e-006
5148	-8.269e-007
5149	-1.3909e-006
5150	-1.2705e-006
5151	-2.9441e-007
5152	-1.599e-006
5153	-3.9943e-008
5154	-5.5584e-009
5155	2.9148e-007
5156	-2.5817e-007
5157	-8.4279e-008
5158	3.9155e-007
5159	-2.0495e-007
5160	3.2453e-007
5161	5.5614e-007
5162	5.6903e-007
5163	7.3367e-007
5164	5.8827e-007
5165	8.2649e-007
5166	8.3903e-007
5167	1.1177e-006
5168	9.7953e-007
5169	6.2647e-007
5170	-7.555e-007
5171	-1.0468e-006
5172	-1.0914e-006
5173	-7.9028e-007
5174	-8.6234e-007
5175	-1.0697e-006
5176	-5.7279e-007
5177	-3.2926e-007
5178	-1.3253e-006
5179	1.394e-006
5180	1.2525e-006
5181	4.1808e-007
5182	3.9965e-007
5183	-9.7177e-007
5184	6.4697e-007
5185	1.1104e-006
5186	8.3225e-007
5187	1.0286e-006
5188	7.9381e-007
5189	1.2384e-006
5190	6.6177e-007
5191	-7.8148e-007
5192	-4.2623e-006
5193	1.8303e-006
5194	-1.5726e-006
5195	-1.1639e-006
5196	-5.0645e-007
5197	7.1426e-006
5198	9.3353e-007
5199	-1.5045e-006
5200	1.643e-006
5201	3.3318e-006
5202	3.0779e-006
5203	1.2246e-006
5204	7.2472e-006
5205	-2.5617e-006
5206	4.6078e-006
5207	3.5689e-006
5208	1.5076e-006
5209	-3.8766e-006
5210	-2.4835e-007
5211	-1.9592e-008
5212	-7.697e-007
5213	-1.1874e-006
5214	-1.6139e-006
5215	9.648e-006
5216	-4.1137e-007
5217	-2.1135e-007
5218	-5.2437e-007
5219	-7.2072e-007
5220	-8.4665e-007
5221	7.8182e-007
5222	-9.5701e-007
5223	3.7171e-007
5224	5.1842e-007
5225	4.1795e-007
5226	8.69e-008
5227	1.939e-007
5228	3.6079e-007
5229	4.6262e-007
5230	-1.3538e-006
5231	-7.2025e-007
5232	-4.5636e-007
5233	-5.0027e-007
5234	3.3734e-007
5235	6.9804e-009
5236	2.6061e-007
5237	3.9817e-007
5238	-4.2803e-007
5239	-1.3511e-006
5240	-1.7815e-007
5241	-6.9504e-007
5242	2.8057e-007
5243	3.6526e-007
5244	5.0926e-007
5245	5.9547e-007
5246	-1.3545e-006
5247	-1.3511e-006
5248	-4.0377e-007
5249	-7.9026e-007
5250	1.5588e-007
5251	2.6292e-007
5252	3.228e-007
5253	2.1725e-007
5254	-6.9401e-007
5255	-9.9683e-007
5256	-3.5173e-007
5257	-5.6942e-007
5258	1.2199e-007
5259	3.9085e-007
5260	-3.9922e-007
5261	-6.367e-007
5262	6.9254e-008
5263	-1.0398e-007
5264	-2.2156e-006
5265	8.1126e-007
5266	5.428e-008
5267	1.3331e-007
5268	1.1856e-007
5269	3.0251e-007
5270	-1.0354e-007
5271	-3.1309e-007
5272	-2.317e-006
5273	-1.8686e-007
5274	-2.2362e-007
5275	-4.5522e-008
5276	8.3398e-007
5277	-7.3693e-007
5278	-1.405e-006
5279	-8.1219e-008
5280	4.3766e-007
5281	1.5822e-007
5282	-8.9239e-008
5283	-2.249e-008
5284	1.1058e-007
5285	-4.0311e-007
5286	2.8486e-007
5287	-4.1887e-007
5288	-1.3859e-007
5289	-3.1971e-007
5290	-3.6699e-008
5291	3.7239e-007
5292	-1.6589e-007
5293	4.5662e-007
5294	-1.0353e-007
5295	-1.0762e-007
5296	2.3465e-007
5297	3.0188e-007
5298	5.8414e-007
5299	2.7156e-008
5300	4.5132e-008
5301	-3.4609e-007
5302	-1.9348e-007
5303	-1.6591e-007
5304	1.861e-007
5305	5.3893e-007
5306	-2.3294e-008
5307	-4.8901e-008
5308	-1.5777e-007
5309	-1.3236e-006
5310	5.612e-008
5311	4.4089e-007
5312	-1.348e-006
5313	-1.4138e-006
5314	-1.1766e-006
5315	4.5029e-006
5316	3.0547e-006
5317	1.4371e-006
5318	-1.1419e-006
5319	-1.1932e-006
5320	4.0734e-007
5321	1.5958e-007
5322	-1.104e-007
5323	-7.7247e-008
5324	-2.293e-006
5325	1.5845e-006
5326	3.1498e-006
5327	7.6377e-006
5328	-2.9486e-006
5329	-8.8391e-007
5330	-8.2407e-007
5331	4.7604e-007
5332	8.3802e-008
5333	4.2111e-007
5334	-4.0169e-007
5335	-4.5816e-007
5336	4.955e-007
5337	9.908e-008
5338	-1.1255e-007
5339	-1.2686e-007
5340	1.7144e-007
5341	7.4951e-008
5342	1.0377e-006
5343	-1.8114e-006
5344	-3.0497e-006
5345	-5.6599e-007
5346	6.5791e-007
5347	1.5223e-007
5348	1.4195e-007
5349	-3.9325e-007
5350	-1.3051e-006
5351	-1.5434e-006
5352	-5.6843e-008
5353	2.4988e-008
5354	-6.4761e-008
5355	3.957e-008
5356	1.3165e-006
5357	8.0165e-007
5358	3.4134e-007
5359	6.7554e-006
5360	-4.4517e-008
5361	4.1484e-008
5362	1.5215e-006
5363	8.669e-007
5364	2.9878e-006
5365	1.9221e-005
5366	6.543e-006
5367	1.7921e-007
5368	1.7471e-007
5369	-4.9399e-006
5370	-7.466e-006
5371	2.1765e-005
5372	7.1742e-007
5373	8.7376e-007
5374	1.0468e-006
5375	2.0937e-006
5376	-1.332e-008
5377	-5.9567e-007
5378	-2.6165e-007
5379	3.8468e-007
5380	-6.2415e-008
5381	-7.0756e-007
5382	-2.04e-007
5383	-8.4749e-007
5384	-1.7632e-007
5385	-3.8081e-007
5386	-5.5605e-007
5387	-1.0008e-006
5388	-5.276e-007
5389	-4.851e-007
5390	-9.923e-008
5391	7.2134e-007
5392	-1.305e-008
5393	-3.2755e-006
5394	1.4636e-007
5395	8.7683e-008
5396	-6.5823e-008
5397	-6.983e-007
5398	-2.2556e-007
5399	-9.9177e-007
5400	-2.3526e-007
5401	-3.3511e-007
5402	1.0294e-007
5403	-1.3708e-007
5404	-7.7396e-008
5405	-8.1358e-008
5406	-1.6357e-007
5407	9.6854e-008
5408	-9.689e-007
5409	-6.7609e-007
5410	-6.7133e-007
5411	-7.1041e-007
5412	-7.068e-007
5413	-9.7158e-007
5414	-1.0365e-006
5415	1.2412e-006
5416	-3.2496e-008
5417	4.2798e-007
5418	1.2794e-007
5419	7.5369e-007
5420	3.3607e-008
5421	4.5051e-008
5422	7.9763e-007
5423	1.0523e-006
5424	6.5483e-007
5425	3.7955e-007
5426	3.6347e-008
5427	2.3744e-007
5428	3.4084e-007
5429	6.0267e-008
5430	-2.9245e-006
5431	-1.6915e-006
5432	-1.0711e-006
5433	-1.1185e-006
5434	-2.3608e-007
5435	1.1074e-007
5436	-4.4943e-007
5437	-6.771e-007
5438	2.9017e-006
5439	8.3368e-006
5440	2.6549e-006
5441	5.9864e-006
5442	3.2111e-006
5443	6.5826e-006
5444	5.0328e-006
5445	2.8572e-006
5446	-8.1779e-008
5447	-9.6551e-007
5448	-2.7135e-007
5449	-4.2497e-007
5450	-1.3386e-006
5451	-1.1076e-006
5452	-3.0769e-006
5453	-9.4975e-007
5454	-1.3425e-008
5455	-1.9438e-007
5456	7.5111e-007
