Node Number	Normal Elastic Strain (m/m)
5146	2.0829e-014
5147	2.8908e-014
5148	5.424e-014
5149	3.1404e-014
5150	-2.0306e-014
5151	-2.8555e-014
5152	2.6383e-015
5153	2.357e-014
5154	3.5561e-014
5155	-1.5511e-014
5156	-5.0029e-014
5157	-3.2531e-014
5158	6.9097e-015
5159	5.5574e-014
5160	6.2963e-014
5161	7.3661e-014
5162	3.1786e-014
5163	5.5042e-014
5164	-7.7149e-014
5165	-1.4805e-013
5166	-6.3437e-014
5167	4.6124e-014
5168	1.4734e-013
5169	1.3273e-013
5170	3.8745e-014
5171	2.1806e-014
5172	7.4467e-014
5173	8.9909e-014
5174	4.8757e-014
5175	-3.6241e-014
5176	-9.8944e-014
5177	-5.556e-014
5178	1.2374e-014
5179	2.8909e-013
5180	3.1734e-013
5181	-1.0315e-013
5182	-4.9416e-013
5183	1.8105e-013
5184	-5.4942e-014
5185	-1.4428e-013
5186	-2.0599e-013
5187	-1.0175e-013
5188	-6.5227e-014
5189	6.0897e-014
5190	1.2435e-013
5191	2.6802e-013
5192	7.5741e-011
5193	-1.1488e-010
5194	2.4264e-009
5195	7.1475e-010
5196	3.5318e-010
5197	1.6804e-010
5198	-8.9358e-011
5199	-3.2602e-010
5200	3.2795e-010
5201	-1.5432e-010
5202	6.0484e-010
5203	-4.3724e-009
5204	3.5825e-011
5205	5.5146e-010
5206	-6.3419e-010
5207	2.209e-011
5208	-1.3192e-010
5209	-2.2422e-010
5210	-1.4785e-010
5211	1.9526e-010
5212	-2.3034e-010
5213	-1.1534e-009
5214	-1.4548e-009
5215	5.002e-009
5216	-1.1527e-012
5217	-5.7906e-013
5218	-1.9595e-012
5219	2.5734e-012
5220	-5.8725e-013
5221	-1.5021e-012
5222	3.2229e-013
5223	4.5622e-013
5224	-7.4011e-013
5225	-8.418e-013
5226	-2.2308e-012
5227	-4.568e-012
5228	-2.6899e-012
5229	-3.7331e-012
5230	-1.1115e-012
5231	-9.3561e-013
5232	-1.8844e-012
5233	-5.9984e-013
5234	-2.6985e-012
5235	-1.9482e-012
5236	-2.5877e-012
5237	-2.0002e-012
5238	-7.4426e-016
5239	-5.0219e-013
5240	3.2613e-013
5241	4.9773e-013
5242	-7.7362e-013
5243	-5.2525e-013
5244	-8.9655e-013
5245	-5.3909e-013
5246	4.7838e-015
5247	2.7351e-013
5248	-8.3024e-013
5249	-5.7496e-013
5250	2.8856e-012
5251	3.7344e-012
5252	3.099e-012
5253	3.4097e-012
5254	1.343e-013
5255	-7.1098e-013
5256	8.4669e-013
5257	1.9756e-012
5258	4.9489e-013
5259	-2.363e-013
5260	-1.852e-012
5261	4.0064e-012
5262	2.7802e-014
5263	9.843e-015
5264	-5.3569e-014
5265	1.3562e-014
5266	5.1561e-014
5267	4.9078e-014
5268	-6.3016e-014
5269	1.2374e-014
5270	-3.5095e-015
5271	-4.6181e-015
5272	1.3181e-014
5273	4.0128e-015
5274	1.7342e-014
5275	1.7922e-014
5276	-1.4502e-014
5277	2.9887e-014
5278	-9.0543e-016
5279	-1.3463e-011
5280	-2.0469e-010
5281	1.8662e-010
5282	3.5526e-011
5283	-7.7114e-011
5284	-2.9641e-010
5285	-5.5407e-013
5286	-5.7739e-012
5287	-3.2784e-013
5288	-9.2647e-013
5289	2.0738e-012
5290	1.5349e-012
5291	-2.6002e-012
5292	2.569e-011
5293	-4.6044e-011
5294	3.2987e-011
5295	-5.9048e-011
5296	-2.1101e-010
5297	-2.5561e-010
5298	8.0451e-011
5299	1.1036e-010
5300	-2.0661e-010
5301	-6.546e-011
5302	-2.5725e-011
5303	1.8287e-010
5304	1.9032e-010
5305	2.6544e-010
5306	5.0563e-013
5307	8.517e-012
5308	-8.9483e-010
5309	4.6766e-010
5310	-2.588e-011
5311	-4.7309e-011
5312	-5.819e-010
5313	-4.6721e-010
5314	-2.6902e-010
5315	2.2765e-009
5316	1.3845e-009
5317	2.88e-010
5318	-4.5547e-010
5319	-4.0809e-010
5320	-1.2987e-010
5321	-1.5548e-011
5322	1.2777e-010
5323	7.0044e-011
5324	5.5671e-010
5325	-3.8672e-010
5326	-1.6797e-009
5327	-3.491e-009
5328	-1.2652e-009
5329	-1.2202e-010
5330	2.7785e-010
5331	-3.1845e-009
5332	3.9856e-011
5333	6.4328e-011
5334	4.0317e-010
5335	1.0495e-009
5336	4.7253e-010
5337	4.7979e-012
5338	-1.3726e-010
5339	-3.4149e-011
5340	1.1271e-011
5341	-6.0765e-011
5342	5.1782e-010
5343	1.5462e-011
5344	2.8516e-011
5345	-2.3493e-011
5346	-2.813e-010
5347	8.2872e-012
5348	3.6713e-011
5349	2.2477e-010
5350	-2.6072e-010
5351	-2.9514e-010
5352	1.8791e-011
5353	-8.7645e-011
5354	1.3979e-010
5355	-6.5574e-011
5356	-2.9912e-009
5357	2.9533e-010
5358	2.6024e-010
5359	5.1897e-009
5360	1.4062e-011
5361	-4.9491e-012
5362	1.3712e-010
5363	1.1334e-011
5364	1.6075e-009
5365	1.031e-010
5366	1.1213e-009
5367	-1.7071e-011
5368	6.7332e-012
5369	2.0224e-010
5370	1.669e-010
5371	7.2732e-009
5372	2.2568e-010
5373	-2.606e-010
5374	-3.8186e-011
5375	-1.2e-010
5376	-2.7554e-014
5377	-1.7647e-012
5378	-4.123e-013
5379	1.408e-012
5380	6.2502e-013
5381	-5.9606e-014
5382	1.2163e-012
5383	-9.6495e-013
5384	3.4989e-013
5385	-1.4206e-012
5386	-1.6283e-012
5387	-1.7568e-014
5388	2.7654e-012
5389	2.6755e-015
5390	5.6255e-015
5391	-9.8795e-015
5392	1.4188e-014
5393	-3.5813e-014
5394	1.9195e-015
5395	-6.9578e-014
5396	1.4155e-014
5397	4.0334e-014
5398	1.5888e-014
5399	-2.2565e-014
5400	-4.6838e-014
5401	-2.8731e-014
5402	-3.1036e-014
5403	-7.3031e-014
5404	-4.2528e-014
5405	-1.763e-014
5406	3.7164e-014
5407	5.5415e-014
5408	8.6873e-014
5409	4.0559e-014
5410	-1.2062e-014
5411	-6.6925e-014
5412	-1.1855e-013
5413	-8.6452e-014
5414	-5.066e-014
5415	3.3068e-012
5416	2.183e-012
5417	-2.1276e-012
5418	-1.6717e-012
5419	-3.0911e-012
5420	-4.1665e-012
5421	-4.5909e-012
5422	-3.9385e-012
5423	2.6181e-009
5424	-1.7721e-009
5425	1.4063e-013
5426	1.6048e-013
5427	-2.8262e-013
5428	-1.3314e-013
5429	1.1695e-013
5430	5.9842e-010
5431	9.0205e-010
5432	1.1644e-009
5433	8.1893e-010
5434	-1.9624e-010
5435	-9.9573e-010
5436	-2.5913e-010
5437	-2.8735e-010
5438	1.1633e-010
5439	5.9693e-010
5440	8.9918e-010
5441	7.378e-010
5442	-9.7449e-010
5443	-1.2984e-009
5444	-1.6998e-010
5445	-6.8638e-012
5446	3.5468e-010
5447	6.6913e-011
5448	2.1498e-010
5449	4.6624e-011
5450	-5.5757e-010
5451	-1.2636e-009
5452	-2.0939e-010
5453	-7.0211e-010
5454	-2.8135e-012
5455	2.7419e-012
5456	9.8713e-013
5457	-1.3906e-012
5458	-8.7092e-013
5459	-1.5905e-012
5460	-1.2965e-012
5461	-1.0099e-012
5462	-1.0057e-012
5463	-4.0821e-013
5464	-3.3148e-013
5465	2.1043e-012
5466	1.1527e-013
5467	3.915e-013
5468	3.8796e-013
5469	-1.1492e-013
5470	-4.4151e-014
5471	2.4137e-013
5472	2.2162e-013
5473	-3.6394e-012
5474	2.5174e-012
5475	-7.6565e-014
5476	-6.9875e-011
5477	-7.8722e-011
5478	-1.3347e-011
5479	-2.3362e-012
5480	-1.7027e-013
5481	-9.7809e-014
5482	1.3393e-012
5483	4.592e-013
5484	-2.708e-011
5485	-9.2135e-013
5486	-1.9019e-011
5487	-3.8585e-011
5488	5.5919e-011
5489	-1.4946e-010
5490	-6.5912e-010
5491	-6.4359e-010
5492	-6.3633e-010
5493	-6.3834e-010
5494	-5.5709e-010
5495	1.4736e-009
5496	2.6739e-009
5497	2.1479e-009
5498	1.0244e-009
5499	6.7115e-010
5500	1.4332e-010
5501	-2.8421e-010
5502	-2.3857e-010
5503	-4.0833e-010
5504	-4.4602e-010
5505	-3.0264e-010
5506	-3.3301e-010
5507	3.7689e-010
5508	-1.0819e-009
5509	-2.6425e-009
5510	-1.3123e-009
5511	-2.0892e-009
5512	-1.1285e-010
5513	2.68e-010
5514	2.9804e-010
5515	2.5223e-010
5516	7.3654e-010
5517	4.6544e-011
5518	-3.6328e-010
5519	3.2212e-011
5520	7.1051e-011
5521	1.2805e-010
5522	1.8736e-009
5523	6.6414e-010
5524	4.1018e-010
5525	3.5495e-010
5526	8.1634e-011
5527	1.75e-010
5528	-1.1804e-010
5529	-5.5476e-010
5530	-1.5236e-010
5531	-1.5297e-011
