Node Number	Normal Stress (Pa)
5146	-9.9241e-005
5147	-5.3389e-004
5148	3.906e-003
5149	2.4698e-003
5150	-4.8825e-004
5151	1.7513e-005
5152	6.5714e-004
5153	1.5161e-003
5154	2.1435e-003
5155	-3.5468e-003
5156	-5.4213e-003
5157	-2.4625e-003
5158	1.6581e-003
5159	6.5494e-003
5160	5.9469e-003
5161	1.5241e-002
5162	9.2769e-003
5163	8.1265e-003
5164	-2.4232e-002
5165	-4.1494e-002
5166	-1.8887e-002
5167	1.087e-002
5168	3.5524e-002
5169	3.3941e-002
5170	5.6045e-003
5171	4.4141e-003
5172	1.356e-002
5173	1.6442e-002
5174	8.2861e-003
5175	-8.8007e-003
5176	-2.1932e-002
5177	-1.2678e-002
5178	-1.6531e-004
5179	6.6892e-002
5180	6.5713e-002
5181	-3.5222e-002
5182	-8.4442e-002
5183	4.6907e-002
5184	-1.2576e-002
5185	-3.3323e-002
5186	-4.454e-002
5187	-2.01e-002
5188	-9.0376e-003
5189	1.8539e-002
5190	3.1654e-002
5191	5.95e-002
5192	43.557
5193	3804.7
5194	306.86
5195	110.26
5196	43.199
5197	39.768
5198	-13.845
5199	-1135.
5200	-1082.1
5201	-495.78
5202	98.512
5203	-4585.3
5204	0.11343
5205	1675.2
5206	134.62
5207	618.17
5208	951.64
5209	-74.593
5210	-49.632
5211	-1743.1
5212	132.18
5213	-140.75
5214	-177.8
5215	4898.2
5216	-0.23587
5217	-9.5629e-002
5218	-0.3501
5219	0.64675
5220	-2.1755e-002
5221	-0.29572
5222	-1.8666e-002
5223	0.29379
5224	-5.2816e-002
5225	-0.24362
5226	-0.25533
5227	-0.8625
5228	-0.26149
5229	-0.59299
5230	2.5084e-002
5231	0.12553
5232	2.6382e-002
5233	-0.2477
5234	-0.26316
5235	2.3455e-002
5236	-0.4855
5237	-0.15581
5238	0.10915
5239	3.5223e-002
5240	-4.6502e-003
5241	-0.10899
5242	0.11202
5243	0.2686
5244	0.10499
5245	0.39787
5246	-8.8199e-002
5247	-0.10577
5248	0.22515
5249	0.14003
5250	0.12974
5251	0.69342
5252	0.10985
5253	0.21942
5254	0.23683
5255	8.6455e-002
5256	0.14749
5257	-0.36644
5258	4.3709e-002
5259	-3.6104e-002
5260	-0.49783
5261	0.84737
5262	4.0369e-003
5263	1.2532e-004
5264	-8.3939e-003
5265	1.4649e-003
5266	1.0578e-002
5267	8.8525e-003
5268	-1.5652e-002
5269	2.7897e-003
5270	-6.8574e-004
5271	-7.7262e-004
5272	2.5422e-003
5273	7.2792e-004
5274	4.9903e-003
5275	4.4623e-003
5276	-4.285e-003
5277	7.5203e-003
5278	-3.6515e-005
5279	4.6303
5280	-48.381
5281	67.292
5282	13.349
5283	-44.029
5284	-94.392
5285	-6.6146e-003
5286	-1.1691
5287	-5.854e-003
5288	4.315e-002
5289	0.14582
5290	-3.206e-002
5291	-0.29255
5292	16.186
5293	-20.248
5294	28.782
5295	51.278
5296	59.725
5297	0.46802
5298	22.354
5299	0.68924
5300	-37.97
5301	-16.617
5302	-52.885
5303	-93.036
5304	-72.401
5305	158.53
5306	0.16029
5307	1.7966
5308	957.33
5309	-1442.6
5310	-10.177
5311	-3.1373
5312	-893.27
5313	-1025.5
5314	1091.5
5315	1286.5
5316	1183.4
5317	1633.4
5318	715.99
5319	573.85
5320	-75.84
5321	-104.5
5322	-16.801
5323	-13.169
5324	-784.82
5325	-1466.1
5326	-1080.5
5327	-1578.3
5328	1651.
5329	507.99
5330	928.4
5331	-3457.4
5332	11.404
5333	1.8558
5334	-846.92
5335	-2094.5
5336	149.17
5337	140.38
5338	15.189
5339	17.196
5340	-2.1818
5341	-6.9833
5342	372.99
5343	-88.821
5344	-161.54
5345	-143.49
5346	-603.25
5347	-1.4407
5348	3.7693
5349	292.33
5350	-152.49
5351	159.84
5352	9.2412
5353	-21.442
5354	11.034
5355	-31.307
5356	1387.7
5357	408.61
5358	-58.431
5359	-389.48
5360	4.3477
5361	-2.4134
5362	-282.9
5363	-393.03
5364	-2571.3
5365	16805
5366	2460.2
5367	-4.0838
5368	7.9236e-002
5369	-1782.2
5370	2443.2
5371	-9548.
5372	182.74
5373	62.717
5374	527.18
5375	341.63
5376	5.5027e-002
5377	-0.207
5378	-0.1643
5379	0.45959
5380	-8.8063e-002
5381	0.22798
5382	-4.4324e-002
5383	9.3927e-003
5384	-2.7698e-002
5385	4.6533e-002
5386	-7.4422e-003
5387	-1.9134e-002
5388	-0.40023
5389	1.0176e-003
5390	1.0347e-003
5391	-3.8759e-003
5392	3.7168e-003
5393	-3.8579e-003
5394	8.9263e-004
5395	-1.6296e-002
5396	3.1661e-003
5397	1.502e-003
5398	1.9649e-003
5399	9.0557e-004
5400	-2.0274e-003
5401	-3.2523e-003
5402	-3.8284e-003
5403	-7.7563e-003
5404	-2.2944e-003
5405	-5.5174e-004
5406	4.6012e-003
5407	4.96e-003
5408	1.579e-002
5409	8.2538e-003
5410	-6.4295e-005
5411	-1.0351e-002
5412	-1.9743e-002
5413	-1.3856e-002
5414	-8.814e-003
5415	0.27899
5416	-0.17493
5417	0.28693
5418	0.34145
5419	-0.50319
5420	-0.62503
5421	-1.0305
5422	-1.0448
5423	-1569.4
5424	1941.6
5425	1.7358e-002
5426	3.3537e-002
5427	-6.1022e-002
5428	-6.6652e-003
5429	3.8772e-002
5430	68.039
5431	-7.5584
5432	91.838
5433	102.71
5434	61.017
5435	300.85
5436	-232.64
5437	-1182.4
5438	-769.58
5439	-347.93
5440	152.96
5441	455.5
5442	-159.37
5443	-412.33
5444	545.98
5445	672.76
5446	184.32
5447	773.14
5448	-156.81
5449	-701.41
5450	73.344
5451	-190.97
5452	-93.865
5453	69.879
5454	-0.58414
5455	0.6365
5456	0.2841
5457	2.3844e-002
5458	-0.16826
5459	-0.18458
5460	-6.801e-002
5461	0.11978
5462	4.9262e-002
5463	-0.23871
5464	-0.15217
5465	0.86265
5466	0.31784
5467	5.4013e-002
5468	6.6133e-002
5469	-3.9298e-002
5470	1.8922e-002
5471	7.018e-002
5472	5.6901e-002
5473	-0.78851
5474	0.55508
5475	-1.5091e-002
5476	22.303
5477	-43.459
5478	-2.7471
5479	-0.4217
5480	0.1211
5481	-8.5854e-002
5482	-0.12824
5483	1.6896e-002
5484	-3.6451
5485	-1.9033e-002
5486	-9.3586
5487	-97.076
5488	49.226
5489	165.3
5490	-1069.6
5491	-1080.3
5492	-1105.9
5493	-1104.3
5494	-1020.2
5495	665.54
5496	615.87
5497	1108.8
5498	1020.9
5499	139.5
5500	690.79
5501	754.23
5502	853.8
5503	686.03
5504	721.75
5505	717.69
5506	-131.57
5507	-653.88
5508	-1348.
5509	-1090.2
5510	-593.69
5511	-547.61
5512	610.01
5513	1180.1
5514	952.32
5515	1429.1
5516	2173.1
