Element Number	Volume (m³)
2340	1.2346e-007
2341	4.6432e-008
2342	1.8114e-007
2343	4.7773e-008
2344	1.1715e-007
2345	1.1671e-007
2346	2.1026e-007
2347	8.9491e-008
2348	1.172e-007
2349	3.8392e-008
2350	2.421e-008
2351	3.9086e-008
2352	6.948e-007
2353	2.4272e-007
2354	6.3313e-007
2355	2.7477e-007
2356	4.6482e-007
2357	7.9068e-007
2358	6.4719e-007
2359	7.5694e-007
2360	3.2352e-007
2361	2.5919e-007
2362	1.0817e-008
2363	8.8419e-009
2364	2.6146e-008
2365	2.4277e-008
2366	6.9288e-008
2367	2.3685e-008
2368	2.7423e-008
2369	2.6831e-008
2370	8.5614e-008
2371	1.618e-008
2372	2.4962e-008
2373	4.0022e-008
2374	3.4507e-008
2375	3.1789e-008
2376	1.7943e-008
2377	3.7243e-008
2378	8.3416e-008
2379	1.1792e-007
2380	1.1752e-007
2381	4.2864e-007
2382	5.0279e-008
2383	8.7198e-008
2384	3.424e-007
2385	2.2298e-007
2386	2.2298e-007
2387	1.6353e-007
2388	2.4513e-007
2389	1.2229e-007
2390	2.395e-007
2391	2.0257e-007
2392	5.2384e-008
2393	1.995e-007
2394	6.7726e-008
2395	3.1336e-007
2396	2.7687e-007
2397	4.2506e-008
2398	7.9982e-008
2399	1.8327e-007
2400	2.7661e-007
2401	2.8033e-008
2402	5.8383e-008
2403	6.4276e-008
2404	5.278e-008
2405	4.2985e-008
2406	2.5443e-008
2407	1.4273e-006
2408	9.396e-007
2409	1.0006e-006
2410	8.0917e-007
2411	1.4487e-006
2412	1.1694e-006
2413	1.8686e-006
2414	2.7098e-006
2415	2.8369e-006
2416	2.1361e-006
2417	2.1531e-006
2418	2.5089e-006
2419	8.538e-007
2420	1.8953e-006
2421	1.4148e-006
2422	1.1766e-006
2423	7.5213e-007
2424	3.5604e-006
2425	2.9906e-006
2426	3.0013e-006
2427	1.5675e-006
2428	1.4824e-006
2429	1.5514e-006
2430	1.5131e-006
2431	1.5993e-006
2432	4.2181e-006
2433	2.5589e-006
2434	3.9591e-006
2435	2.7827e-006
2436	4.5301e-006
2437	3.452e-006
2438	2.3001e-006
2439	4.2802e-006
2440	3.0912e-006
2441	3.176e-006
2442	1.7708e-006
2443	1.81e-006
2444	1.8259e-006
2445	1.3788e-006
2446	1.4295e-006
2447	1.6973e-006
2448	4.6356e-006
2449	2.7156e-006
2450	1.0152e-007
2451	1.7971e-007
2452	1.6013e-007
2453	5.3495e-008
2454	3.9586e-007
2455	4.8341e-007
2456	7.9793e-008
2457	1.4565e-007
2458	7.3081e-007
2459	9.6654e-007
2460	5.2468e-007
2461	4.0307e-007
2462	9.4622e-008
2463	6.3227e-008
2464	3.5424e-008
2465	5.8675e-008
2466	6.3858e-008
2467	3.3235e-007
2468	3.0986e-007
2469	3.1363e-007
2470	5.7921e-008
2471	4.0352e-007
2472	4.1255e-007
2473	1.72e-007
2474	1.2679e-007
2475	3.8076e-007
2476	4.1489e-007
2477	1.2338e-007
2478	3.0375e-007
2479	2.7179e-007
2480	1.0147e-007
2481	1.3101e-007
2482	1.1938e-007
2483	3.5717e-007
2484	3.9027e-007
2485	1.1649e-007
2486	2.6767e-007
2487	1.2962e-007
2488	1.6388e-006
2489	8.1195e-007
2490	4.4937e-007
2491	4.9522e-007
2492	8.3749e-007
2493	8.7353e-007
2494	9.8863e-007
2495	9.3489e-007
2496	1.1471e-006
2497	5.4707e-007
2498	4.9451e-007
2499	1.723e-007
2500	9.4076e-007
2501	2.5537e-007
2502	3.3327e-007
2503	3.2533e-007
2504	2.5143e-007
2505	3.8859e-007
2506	1.2826e-006
2507	3.6917e-007
2508	3.0121e-007
2509	1.0266e-006
2510	4.8887e-007
2511	6.4009e-007
2512	4.9389e-007
2513	1.1895e-006
2514	5.8e-007
2515	6.0401e-007
2516	3.1945e-007
2517	1.167e-006
2518	4.8826e-007
2519	5.2066e-007
2520	5.7916e-007
2521	4.3392e-007
2522	2.4536e-007
2523	1.2268e-007
2524	1.5707e-007
2525	9.8269e-008
2526	4.5419e-008
2527	5.4149e-008
2528	1.3704e-007
2529	1.3843e-007
2530	1.2013e-007
2531	1.6771e-007
2532	2.6715e-007
2533	4.1993e-007
2534	1.0675e-007
2535	1.7142e-007
2536	1.7773e-007
2537	1.4321e-007
2538	3.5849e-007
2539	4.5626e-007
2540	1.6256e-007
2541	1.8501e-007
2542	1.256e-007
2543	3.1283e-007
2544	2.5573e-007
2545	1.9615e-007
2546	5.9305e-008
2547	7.2407e-008
2548	4.6392e-007
2549	1.3258e-007
2550	4.9096e-007
2551	1.3639e-007
2552	4.766e-008
2553	2.7739e-007
2554	3.2905e-007
2555	5.0139e-007
2556	1.7328e-007
2557	5.7342e-008
2558	2.1987e-007
2559	4.403e-007
2560	1.9465e-007
2561	2.3195e-007
2562	1.6625e-007
2563	1.5417e-007
2564	3.8876e-007
2565	1.9328e-007
2566	9.0008e-008
2567	3.8006e-007
2568	4.3183e-007
2569	1.9491e-007
2570	2.8383e-007
2571	1.7924e-007
2572	3.1328e-007
2573	1.0714e-007
2574	5.4919e-008
2575	3.5288e-008
2576	2.053e-007
2577	7.6531e-008
2578	1.241e-007
2579	2.0564e-007
2580	5.9942e-008
2581	3.853e-008
2582	1.5608e-007
2583	8.6457e-008
2584	7.7992e-008
2585	3.4927e-008
2586	9.0653e-008
2587	1.7433e-007
2588	9.2207e-008
2589	3.2782e-008
2590	3.7906e-008
2591	6.7727e-008
2592	1.1206e-007
2593	9.4033e-008
2594	1.0111e-007
2595	8.6822e-008
2596	8.4412e-008
2597	1.5434e-007
2598	1.7597e-007
