Node Number	Total Deformation (m)
5146	2.2595e-008
5147	2.3356e-008
5148	2.3265e-008
5149	2.3841e-008
5150	2.418e-008
5151	2.4204e-008
5152	2.3906e-008
5153	2.2489e-008
5154	2.3356e-008
5155	2.3905e-008
5156	2.4254e-008
5157	2.4345e-008
5158	2.4163e-008
5159	2.3739e-008
5160	2.3145e-008
5161	2.3058e-008
5162	2.2249e-008
5163	2.3512e-008
5164	2.3831e-008
5165	2.3973e-008
5166	2.392e-008
5167	2.3679e-008
5168	2.3282e-008
5169	2.2782e-008
5170	2.3155e-008
5171	2.2283e-008
5172	2.2859e-008
5173	2.3399e-008
5174	2.3826e-008
5175	2.4085e-008
5176	2.4142e-008
5177	2.3989e-008
5178	2.3645e-008
5179	2.2193e-008
5180	2.2895e-008
5181	2.136e-008
5182	2.1728e-008
5183	2.2241e-008
5184	2.1766e-008
5185	2.1412e-008
5186	2.1249e-008
5187	2.1308e-008
5188	2.1578e-008
5189	2.201e-008
5190	2.2531e-008
5191	2.2971e-008
5192	2.2106e-008
5193	1.72e-008
5194	2.0583e-008
5195	1.8799e-008
5196	1.7724e-008
5197	2.2112e-008
5198	2.2119e-008
5199	1.7298e-008
5200	1.7816e-008
5201	1.8944e-008
5202	2.0478e-008
5203	1.7242e-008
5204	2.0301e-008
5205	1.4975e-008
5206	1.8505e-008
5207	1.6799e-008
5208	1.5539e-008
5209	2.0332e-008
5210	2.0319e-008
5211	1.4917e-008
5212	1.5464e-008
5213	1.6758e-008
5214	1.85e-008
5215	1.4911e-008
5216	2.2672e-008
5217	2.1966e-008
5218	2.1504e-008
5219	2.1134e-008
5220	2.2673e-008
5221	2.2628e-008
5222	2.1789e-008
5223	2.074e-008
5224	2.121e-008
5225	2.187e-008
5226	2.2601e-008
5227	2.2366e-008
5228	2.2305e-008
5229	2.2187e-008
5230	2.3015e-008
5231	2.2783e-008
5232	2.272e-008
5233	2.2603e-008
5234	2.1295e-008
5235	2.1176e-008
5236	2.1013e-008
5237	2.0953e-008
5238	2.1724e-008
5239	2.1606e-008
5240	2.1443e-008
5241	2.1383e-008
5242	1.9893e-008
5243	1.9695e-008
5244	1.9601e-008
5245	1.9501e-008
5246	2.0314e-008
5247	2.0119e-008
5248	2.0023e-008
5249	1.9924e-008
5250	2.382e-008
5251	2.3657e-008
5252	2.3533e-008
5253	2.345e-008
5254	2.4246e-008
5255	2.4084e-008
5256	2.3958e-008
5257	2.3877e-008
5258	2.3668e-008
5259	2.3332e-008
5260	2.3105e-008
5261	2.3443e-008
5262	2.3296e-008
5263	2.2958e-008
5264	2.3683e-008
5265	2.3518e-008
5266	2.2695e-008
5267	2.3214e-008
5268	2.3799e-008
5269	2.3548e-008
5270	2.3378e-008
5271	2.3205e-008
5272	2.3578e-008
5273	2.3492e-008
5274	2.3035e-008
5275	2.3208e-008
5276	2.3408e-008
5277	2.3322e-008
5278	2.3474e-008
5279	2.037e-008
5280	2.2002e-008
5281	2.1895e-008
5282	2.287e-008
5283	2.3356e-008
5284	2.3159e-008
5285	2.3137e-008
5286	2.2569e-008
5287	2.1554e-008
5288	2.3543e-008
5289	2.4732e-008
5290	2.4577e-008
5291	2.0962e-008
5292	1.9793e-008
5293	2.1827e-008
5294	1.8464e-008
5295	1.8033e-008
5296	1.8684e-008
5297	2.0082e-008
5298	1.9997e-008
5299	2.1027e-008
5300	2.0412e-008
5301	1.7845e-008
5302	1.6339e-008
5303	1.5819e-008
5304	1.6483e-008
5305	1.8088e-008
5306	1.8934e-008
5307	1.8279e-008
5308	2.0843e-008
5309	1.6801e-008
5310	1.9465e-008
5311	1.8117e-008
5312	1.6968e-008
5313	1.7133e-008
5314	2.3775e-008
5315	2.3498e-008
5316	2.4333e-008
5317	2.4431e-008
5318	2.2789e-008
5319	2.1812e-008
5320	2.3209e-008
5321	2.3673e-008
5322	2.3033e-008
5323	2.1543e-008
5324	2.2163e-008
5325	2.2853e-008
5326	2.2728e-008
5327	2.1813e-008
5328	1.4492e-008
5329	1.481e-008
5330	1.4649e-008
5331	1.9053e-008
5332	1.7529e-008
5333	1.6009e-008
5334	2.0091e-008
5335	2.1126e-008
5336	2.1216e-008
5337	2.2038e-008
5338	2.1369e-008
5339	1.977e-008
5340	1.6223e-008
5341	1.5451e-008
5342	2.2233e-008
5343	2.19e-008
5344	2.282e-008
5345	2.2949e-008
5346	2.3817e-008
5347	2.3068e-008
5348	2.2573e-008
5349	2.4501e-008
5350	2.4395e-008
5351	2.3549e-008
5352	2.0073e-008
5353	1.861e-008
5354	1.8009e-008
5355	1.8798e-008
5356	1.9131e-008
5357	2.1301e-008
5358	2.0164e-008
5359	2.0877e-008
5360	2.0092e-008
5361	1.9504e-008
5362	2.1855e-008
5363	2.2826e-008
5364	1.4433e-008
5365	1.4436e-008
5366	1.6713e-008
5367	1.5729e-008
5368	1.496e-008
5369	1.6744e-008
5370	2.0897e-008
5371	1.9109e-008
5372	1.4581e-008
5373	1.4748e-008
5374	1.7041e-008
5375	1.6875e-008
5376	2.1094e-008
5377	1.9656e-008
5378	1.9867e-008
5379	2.3626e-008
5380	2.3208e-008
5381	2.3077e-008
5382	2.3192e-008
5383	2.1885e-008
5384	2.1943e-008
5385	2.0409e-008
5386	2.0505e-008
5387	2.437e-008
5388	2.445e-008
5389	2.3002e-008
5390	2.3089e-008
5391	2.2831e-008
5392	2.2919e-008
5393	2.2556e-008
5394	2.2729e-008
5395	2.2077e-008
5396	2.2346e-008
5397	2.2686e-008
5398	2.2076e-008
5399	2.17e-008
5400	2.1675e-008
5401	2.2008e-008
5402	2.1901e-008
5403	2.1508e-008
5404	2.1402e-008
5405	2.1608e-008
5406	2.2078e-008
5407	2.2705e-008
5408	2.2587e-008
5409	2.2023e-008
5410	2.1554e-008
5411	2.1262e-008
5412	2.1198e-008
5413	2.1375e-008
5414	2.176e-008
5415	2.3943e-008
5416	2.4024e-008
5417	1.9985e-008
5418	2.0083e-008
5419	2.1455e-008
5420	2.1514e-008
5421	2.266e-008
5422	2.2776e-008
5423	2.2211e-008
5424	2.382e-008
5425	2.166e-008
5426	2.1907e-008
5427	2.1385e-008
5428	2.2285e-008
5429	2.2594e-008
5430	2.129e-008
5431	2.1704e-008
5432	1.9628e-008
5433	1.823e-008
5434	1.7379e-008
5435	1.7267e-008
5436	1.7466e-008
5437	1.7362e-008
5438	1.8311e-008
5439	1.9676e-008
5440	2.1303e-008
5441	2.171e-008
5442	1.9246e-008
5443	1.9864e-008
5444	1.7615e-008
5445	1.6091e-008
5446	1.5151e-008
5447	1.5039e-008
5448	1.51e-008
5449	1.4985e-008
5450	1.6031e-008
5451	1.7593e-008
5452	1.9432e-008
5453	1.9889e-008
5454	2.2062e-008
5455	2.1434e-008
5456	2.1119e-008
5457	2.0774e-008
5458	2.1911e-008
5459	2.2808e-008
5460	2.2575e-008
5461	2.1509e-008
5462	2.1391e-008
5463	2.0103e-008
5464	1.9907e-008
5465	2.4033e-008
5466	2.387e-008
5467	2.3397e-008
5468	2.3168e-008
5469	2.3644e-008
5470	2.2805e-008
5471	2.25e-008
5472	2.208e-008
5473	2.2578e-008
5474	2.3173e-008
5475	2.2783e-008
5476	2.1192e-008
5477	2.2648e-008
5478	2.2285e-008
5479	2.2853e-008
5480	2.2591e-008
5481	2.4286e-008
5482	2.4833e-008
5483	2.399e-008
5484	2.0666e-008
5485	2.1258e-008
5486	2.015e-008
5487	2.0495e-008
5488	1.7454e-008
5489	1.7126e-008
5490	1.6885e-008
5491	1.6844e-008
5492	1.7051e-008
5493	1.7216e-008
5494	1.7257e-008
5495	2.3041e-008
5496	2.2496e-008
5497	2.4001e-008
5498	2.4486e-008
5499	2.4265e-008
5500	2.4009e-008
5501	2.3227e-008
5502	2.3526e-008
5503	2.2299e-008
5504	2.1326e-008
5505	2.1084e-008
5506	2.2672e-008
5507	2.2407e-008
5508	2.2902e-008
5509	2.2363e-008
5510	2.1113e-008
5511	2.072e-008
5512	1.4891e-008
5513	1.4935e-008
5514	1.4732e-008
5515	1.4573e-008
5516	1.4532e-008
5517	1.829e-008
5518	1.8673e-008
5519	1.5249e-008
5520	1.4871e-008
5521	1.9574e-008
5522	1.9313e-008
5523	2.0608e-008
5524	2.1646e-008
5525	2.1905e-008
5526	1.6691e-008
5527	1.6943e-008
5528	1.5155e-008
5529	1.5031e-008
5530	2.1161e-008
5531	2.0759e-008
5532	2.2448e-008
5533	2.2996e-008
5534	2.2683e-008
5535	2.2479e-008
5536	2.3428e-008
5537	2.3607e-008
5538	2.2376e-008
5539	2.2293e-008
5540	2.4237e-008
5541	2.4045e-008
5542	2.4566e-008
5543	2.4059e-008
5544	2.2871e-008
5545	2.2506e-008
5546	2.1144e-008
5547	1.9529e-008
5548	2.1718e-008
5549	2.1976e-008
5550	2.0695e-008
5551	1.9648e-008
5552	1.9408e-008
5553	2.0458e-008
5554	2.0659e-008
5555	1.9286e-008
5556	1.9198e-008
5557	2.1369e-008
5558	2.1126e-008
5559	2.2339e-008
5560	2.332e-008
5561	2.3568e-008
5562	1.6198e-008
5563	1.645e-008
5564	1.4668e-008
5565	1.4546e-008
5566	1.4491e-008
5567	1.4437e-008
5568	1.4656e-008
5569	1.4833e-008
5570	1.4848e-008
5571	1.7131e-008
5572	1.7175e-008
5573	1.6959e-008
5574	1.6792e-008
5575	1.6749e-008
5576	2.2124e-008
5577	2.0216e-008
5578	1.9531e-008
5579	2.059e-008
5580	2.3294e-008
5581	2.3595e-008
5582	2.2554e-008
5583	2.2251e-008
5584	2.3913e-008
5585	2.2697e-008
5586	2.4134e-008
5587	2.3223e-008
5588	2.381e-008
5589	2.4233e-008
5590	2.4481e-008
5591	2.4532e-008
5592	2.4389e-008
5593	2.0493e-008
5594	2.2284e-008
5595	2.256e-008
5596	2.0916e-008
5597	2.2811e-008
5598	2.2957e-008
5599	2.2896e-008
5600	2.262e-008
5601	2.2157e-008
5602	2.1516e-008
5603	2.2898e-008
5604	2.3324e-008
5605	2.345e-008
5606	2.1582e-008
5607	2.113e-008
5608	2.1043e-008
5609	1.494e-008
5610	2.0113e-008
5611	1.9656e-008
5612	1.5037e-008
5613	1.896e-008
5614	1.8033e-008
5615	1.7173e-008
5616	1.6394e-008
5617	1.5753e-008
5618	1.5271e-008
5619	2.19e-008
5620	1.7257e-008
5621	1.7358e-008
5622	2.151e-008
5623	1.7574e-008
5624	1.8004e-008
5625	1.858e-008
5626	1.9277e-008
5627	2.0058e-008
5628	2.0889e-008
5629	1.732e-008
5630	1.5949e-008
5631	2.3199e-008
5632	2.4034e-008
5633	1.6543e-008
5634	2.3057e-008
5635	2.3575e-008
5636	1.6963e-008
5637	1.6275e-008
5638	2.3497e-008
5639	1.7183e-008
5640	1.6808e-008
5641	1.7035e-008
5642	1.7116e-008
5643	1.6871e-008
5644	1.6953e-008
5645	2.3506e-008
5646	2.1254e-008
5647	2.2101e-008
5648	2.3072e-008
5649	2.1631e-008
