Node Number	Total Heat Flux (W/m²)
5146	1.046e-006
5147	1.0151e-006
5148	9.6963e-007
5149	1.4291e-006
5150	1.2746e-006
5151	6.1085e-007
5152	1.6152e-006
5153	1.0924e-006
5154	1.0519e-006
5155	4.7228e-007
5156	1.6315e-006
5157	1.1847e-006
5158	5.7013e-007
5159	1.2574e-006
5160	8.65e-007
5161	1.036e-006
5162	1.0504e-006
5163	7.5494e-007
5164	5.9849e-007
5165	8.2709e-007
5166	8.5069e-007
5167	1.2249e-006
5168	1.0384e-006
5169	6.8618e-007
5170	1.4648e-006
5171	1.7565e-006
5172	1.2854e-006
5173	8.8574e-007
5174	1.2862e-006
5175	1.2425e-006
5176	7.8011e-007
5177	1.3784e-006
5178	1.4587e-006
5179	2.3307e-006
5180	1.8089e-006
5181	4.2296e-007
5182	4.0468e-007
5183	1.4287e-006
5184	7.1053e-007
5185	1.2263e-006
5186	8.3874e-007
5187	1.0561e-006
5188	7.9692e-007
5189	1.3027e-006
5190	7.2853e-007
5191	1.0021e-006
5192	7.8848e-006
5193	8.0866e-006
5194	4.1478e-006
5195	3.2925e-006
5196	5.064e-006
5197	1.0668e-005
5198	2.346e-006
5199	5.7308e-006
5200	1.1434e-005
5201	1.0492e-005
5202	1.0436e-005
5203	2.1899e-006
5204	8.64e-006
5205	9.8787e-006
5206	1.3054e-005
5207	1.1548e-005
5208	1.1089e-005
5209	6.7332e-006
5210	3.543e-006
5211	7.3362e-006
5212	5.8512e-006
5213	4.1605e-006
5214	4.4101e-006
5215	6.0774e-005
5216	1.1383e-006
5217	7.7929e-007
5218	7.1618e-007
5219	7.7297e-007
5220	9.4356e-007
5221	8.496e-007
5222	9.9398e-007
5223	5.0371e-007
5224	6.7435e-007
5225	7.5714e-007
5226	1.5811e-007
5227	1.2387e-006
5228	1.5211e-006
5229	1.2032e-006
5230	2.1239e-006
5231	7.2482e-007
5232	1.2976e-006
5233	7.7665e-007
5234	9.1089e-007
5235	1.6968e-007
5236	8.526e-007
5237	1.3282e-006
5238	6.0203e-007
5239	2.1268e-006
5240	4.4386e-007
5241	1.5411e-006
5242	1.0793e-006
5243	5.9104e-007
5244	1.272e-006
5245	1.8766e-006
5246	1.3999e-006
5247	1.3973e-006
5248	7.6723e-007
5249	9.4885e-007
5250	1.244e-006
5251	7.5043e-007
5252	8.6774e-007
5253	6.5434e-007
5254	1.6501e-006
5255	1.2234e-006
5256	6.891e-007
5257	7.4923e-007
5258	7.6721e-007
5259	3.9211e-007
5260	4.703e-007
5261	6.7166e-007
5262	1.2416e-006
5263	1.3759e-006
5264	3.2748e-006
5265	1.6472e-006
5266	2.5514e-007
5267	3.5254e-007
5268	2.9185e-007
5269	3.6833e-007
5270	4.0611e-007
5271	1.0142e-006
5272	7.8708e-006
5273	7.2142e-007
5274	3.0781e-007
5275	1.7995e-007
5276	9.4971e-007
5277	7.7452e-007
5278	1.4125e-006
5279	1.2108e-006
5280	1.0741e-006
5281	3.8185e-007
5282	1.8051e-007
5283	1.9106e-007
5284	2.7723e-007
5285	1.4849e-006
5286	3.4252e-007
5287	1.5094e-006
5288	4.6001e-007
5289	6.7786e-007
5290	2.2193e-007
5291	4.1773e-007
5292	2.0339e-007
5293	5.5301e-007
5294	3.0746e-007
5295	5.8112e-007
5296	6.05e-007
5297	4.6775e-007
5298	5.8824e-007
5299	8.471e-008
5300	9.5263e-008
5301	5.3377e-007
5302	3.4063e-007
5303	6.4792e-007
5304	5.9135e-007
5305	7.1316e-007
5306	3.267e-008
5307	6.2235e-008
5308	8.8242e-006
5309	8.78e-006
5310	2.9164e-007
5311	5.2428e-007
5312	5.7239e-006
5313	7.8376e-006
5314	9.8078e-006
5315	1.1256e-005
5316	9.8091e-006
5317	1.5693e-005
5318	7.1882e-006
5319	6.1902e-006
5320	5.1651e-007
5321	4.7721e-007
5322	5.793e-007
5323	2.8386e-007
5324	1.2364e-005
5325	1.4006e-005
5326	7.4031e-006
5327	1.574e-005
5328	8.2936e-006
5329	3.688e-006
5330	3.6903e-006
5331	2.0426e-005
5332	2.6596e-007
5333	5.0811e-007
5334	9.1713e-006
5335	6.3801e-006
5336	5.3231e-007
5337	6.0385e-007
5338	5.6235e-007
5339	2.7547e-007
5340	2.4419e-007
5341	2.044e-007
5342	8.0372e-006
5343	5.041e-006
5344	6.2821e-006
5345	4.1897e-006
5346	8.9846e-006
5347	3.3157e-007
5348	1.9501e-007
5349	5.7829e-006
5350	3.9746e-006
5351	4.1109e-006
5352	1.8657e-007
5353	1.0971e-007
5354	1.1687e-007
5355	2.6334e-007
5356	1.2838e-005
5357	7.0347e-006
5358	4.4833e-006
5359	1.1424e-005
5360	2.6976e-007
5361	2.3386e-007
5362	7.2224e-006
5363	6.0798e-006
5364	9.0808e-006
5365	7.2886e-005
5366	1.1202e-005
5367	2.5715e-007
5368	2.5624e-007
5369	1.3629e-005
5370	1.4988e-005
5371	7.375e-005
5372	3.7161e-006
5373	3.7419e-006
5374	5.7973e-006
5375	7.756e-006
5376	3.2906e-007
5377	1.819e-006
5378	4.3783e-007
5379	5.4922e-007
5380	4.5348e-007
5381	8.503e-007
5382	2.9772e-007
5383	1.5371e-006
5384	3.9875e-007
5385	9.3484e-007
5386	1.2144e-006
5387	1.2239e-006
5388	7.5819e-007
5389	9.9986e-007
5390	3.2546e-006
5391	9.7574e-007
5392	4.9904e-007
5393	4.1767e-006
5394	1.1842e-006
5395	1.8331e-007
5396	2.9398e-007
5397	8.3313e-007
5398	5.4798e-007
5399	1.0128e-006
5400	5.2961e-007
5401	4.4766e-007
5402	8.154e-007
5403	1.3658e-006
5404	1.224e-006
5405	1.228e-006
5406	1.4118e-006
5407	8.3244e-007
5408	1.2445e-006
5409	1.1232e-006
5410	7.673e-007
5411	1.2647e-006
5412	7.9207e-007
5413	1.2491e-006
5414	1.2637e-006
5415	2.4932e-006
5416	6.0352e-007
5417	1.2529e-006
5418	4.0873e-007
5419	2.0116e-006
5420	4.6866e-007
5421	6.7736e-007
5422	1.8882e-006
5423	1.4733e-006
5424	9.0152e-007
5425	5.9123e-007
5426	5.2335e-007
5427	4.5524e-007
5428	5.3623e-007
5429	5.1322e-007
5430	6.0635e-006
5431	4.6913e-006
5432	4.4403e-006
5433	4.4042e-006
5434	6.1655e-006
5435	5.3513e-006
5436	8.1219e-006
5437	7.7137e-006
5438	1.033e-005
5439	3.4506e-005
5440	5.4095e-006
5441	1.3641e-005
5442	7.0875e-006
5443	1.4118e-005
5444	1.7334e-005
5445	1.1689e-005
5446	7.0314e-006
5447	5.3424e-006
5448	5.3282e-006
5449	4.701e-006
5450	5.8206e-006
5451	4.2663e-006
5452	5.0483e-006
5453	3.2382e-006
5454	1.6039e-007
5455	2.2555e-007
5456	7.6898e-007
5457	8.4094e-007
5458	3.7542e-007
5459	4.3098e-007
5460	5.2851e-007
5461	2.0877e-007
5462	4.0253e-007
5463	3.3154e-007
5464	4.5572e-007
5465	5.4469e-007
5466	2.215e-007
5467	5.1887e-007
5468	5.5452e-007
5469	4.9423e-007
5470	3.8356e-007
5471	3.2214e-007
5472	9.3042e-007
5473	2.4313e-007
5474	3.4213e-007
5475	3.9389e-007
5476	5.4528e-007
5477	6.4059e-007
5478	1.0657e-007
5479	4.2653e-007
5480	5.0645e-007
5481	4.741e-007
5482	5.0221e-007
5483	6.5351e-007
5484	9.8524e-008
5485	5.9504e-007
5486	7.2838e-007
5487	7.173e-007
5488	9.0426e-007
5489	1.3591e-006
5490	6.0787e-006
5491	4.8255e-006
5492	8.3336e-006
5493	6.7867e-006
5494	4.4886e-006
5495	6.762e-006
5496	6.6449e-006
5497	9.7925e-006
5498	8.218e-006
5499	8.8295e-006
5500	9.8044e-006
5501	6.4834e-006
5502	5.8088e-006
5503	6.1162e-006
5504	6.0456e-006
5505	5.2956e-006
5506	6.8436e-006
5507	1.0616e-005
5508	1.4121e-005
5509	1.2551e-005
5510	1.1358e-005
5511	7.1621e-006
5512	6.2791e-006
5513	4.2624e-006
5514	3.2226e-006
5515	3.6322e-006
5516	3.921e-006
5517	9.2191e-007
5518	1.6782e-006
5519	7.5927e-007
5520	1.2275e-006
5521	8.3955e-006
5522	8.445e-006
5523	5.2377e-006
5524	7.3539e-006
5525	8.053e-006
5526	8.5818e-007
5527	1.3014e-006
5528	3.954e-007
5529	2.167e-006
5530	4.2189e-006
5531	5.5054e-006
5532	4.3937e-006
5533	5.1013e-006
5534	6.069e-006
5535	5.4958e-006
5536	2.9765e-007
5537	5.4603e-007
5538	4.0195e-007
5539	3.9629e-007
5540	4.9785e-006
5541	6.1349e-006
5542	6.4608e-006
5543	5.9725e-006
5544	4.7294e-006
5545	5.9728e-006
5546	5.6081e-007
5547	7.0535e-007
5548	6.6231e-006
5549	5.1389e-006
5550	3.5382e-006
5551	3.6742e-006
5552	3.8803e-006
5553	6.8472e-007
5554	7.7607e-007
5555	5.1828e-007
5556	6.5279e-007
5557	7.5173e-006
5558	5.4715e-006
5559	6.3097e-006
5560	4.8922e-006
5561	8.1023e-006
5562	4.6702e-007
5563	1.1714e-006
5564	3.1359e-007
5565	7.5333e-007
5566	3.2551e-006
5567	3.7491e-006
5568	3.8115e-006
5569	3.6285e-006
5570	1.9438e-005
5571	7.2257e-006
5572	4.6223e-006
5573	8.4382e-006
5574	8.6167e-006
5575	8.9158e-006
5576	6.3014e-007
5577	5.4565e-007
5578	4.0429e-007
5579	5.4015e-007
5580	4.029e-007
5581	3.6932e-007
5582	4.0088e-007
5583	3.1507e-006
5584	2.3794e-006
5585	1.6319e-006
5586	1.6383e-006
5587	1.9763e-006
5588	3.2262e-006
5589	1.549e-006
5590	2.5642e-006
5591	2.5146e-006
5592	2.2012e-006
5593	1.705e-006
5594	4.3641e-006
5595	3.9354e-007
5596	2.7524e-006
5597	2.0129e-006
5598	4.0465e-006
5599	2.0378e-006
5600	2.514e-006
5601	1.9456e-006
5602	4.6835e-007
5603	7.624e-007
5604	9.2931e-007
5605	6.7157e-007
5606	3.279e-007
5607	4.1441e-007
5608	6.4808e-007
5609	4.1624e-006
5610	7.8147e-006
5611	1.2253e-006
5612	5.7166e-006
5613	2.5278e-006
5614	2.146e-006
5615	3.4442e-006
5616	2.7523e-006
5617	2.3048e-006
5618	7.0286e-007
5619	4.5307e-006
5620	2.6728e-006
5621	3.7282e-007
5622	1.791e-006
5623	1.6403e-006
5624	1.8462e-006
5625	2.4867e-006
5626	2.4499e-006
5627	3.0858e-006
5628	1.0948e-006
5629	1.9014e-007
5630	1.7775e-007
5631	2.4683e-007
5632	2.1724e-007
5633	2.8504e-007
5634	1.477e-007
5635	7.8969e-008
5636	1.4948e-007
5637	2.7123e-007
5638	2.2383e-007
5639	1.2068e-006
5640	2.8229e-006
5641	7.9143e-007
5642	4.4329e-007
5643	1.2141e-006
5644	2.0969e-006
5645	4.6633e-007
5646	6.7438e-007
5647	1.226e-006
5648	3.9218e-007
5649	9.582e-007
5650	4.6129e-007
5651	2.956e-006
5652	2.0504e-006
5653	6.9239e-007
5654	3.0509e-006
5655	3.1934e-006
5656	2.4717e-007
5657	5.2191e-007
5658	1.7318e-007
5659	2.508e-008
5660	1.9932e-007
5661	2.1126e-007
5662	1.4266e-007
5663	3.5285e-007
5664	9.7375e-008
5665	1.0622e-007
5666	1.3525e-007
5667	2.0905e-007
5668	1.3763e-007
5669	3.9576e-007
5670	3.0445e-007
5671	9.5148e-008
5672	7.676e-007
5673	3.0824e-007
5674	1.5981e-007
5675	2.3264e-007
5676	1.2741e-007
5677	2.1215e-007
5678	1.6753e-007
5679	8.488e-008
5680	3.1449e-008
5681	5.3473e-008
5682	1.1222e-007
5683	1.2139e-007
5684	1.9595e-007
5685	1.3238e-007
5686	1.7648e-007
5687	1.5652e-007
5688	3.1005e-007
5689	1.469e-007
5690	1.3163e-007
5691	2.0099e-007
5692	1.0769e-007
5693	4.8233e-008
5694	1.1806e-007
5695	7.8387e-008
5696	1.4874e-007
5697	7.1906e-008
5698	9.169e-008
5699	5.9301e-007
5700	3.8309e-007
5701	1.0587e-006
5702	6.26e-007
5703	5.9302e-008
5704	4.8258e-007
5705	1.3694e-007
5706	2.0603e-007
5707	1.3686e-007
5708	5.4816e-008
5709	2.6169e-007
5710	1.3018e-007
5711	7.9528e-008
5712	1.633e-007
5713	3.0613e-007
5714	1.1939e-008
5715	2.5274e-008
5716	8.9906e-008
5717	2.5309e-008
5718	6.0236e-008
5719	1.0299e-007
5720	2.4502e-007
5721	9.9595e-008
5722	1.2504e-006
5723	3.1961e-008
5724	7.5841e-007
5725	3.446e-008
5726	4.4808e-008
5727	8.9503e-008
5728	8.825e-008
5729	9.396e-008
5730	1.8684e-007
5731	9.4075e-008
5732	1.2378e-007
5733	3.8594e-008
5734	1.7958e-008
5735	1.4426e-007
5736	1.369e-007
5737	5.4622e-008
5738	8.4296e-008
5739	3.8869e-008
5740	6.5005e-008
5741	1.3574e-007
5742	1.3041e-007
5743	8.1887e-008
5744	8.2965e-008
5745	1.033e-007
5746	4.4944e-008
5747	9.9081e-008
5748	1.0248e-007
5749	6.6976e-008
5750	9.914e-008
5751	9.1315e-008
5752	5.1492e-008
5753	8.3948e-008
5754	1.3509e-007
5755	1.134e-007
5756	8.0387e-008
5757	1.0447e-007
5758	7.7979e-008
5759	9.4365e-008
5760	4.2067e-008
5761	3.0973e-008
5762	7.4106e-008
5763	1.5672e-007
5764	1.4128e-007
5765	4.647e-008
5766	2.9894e-008
5767	5.8539e-008
5768	3.9654e-008
5769	3.7903e-008
5770	4.1629e-008
5771	2.9343e-008
5772	3.341e-008
5773	2.4824e-008
5774	4.9715e-008
5775	7.3938e-009
5776	6.7842e-008
5777	8.8261e-009
5778	7.4507e-008
5779	8.3332e-008
5780	6.605e-008
5781	6.8269e-008
5782	7.0843e-009
5783	6.615e-008
5784	7.2089e-008
5785	6.498e-008
5786	1.6895e-008
5787	4.3369e-008
5788	2.903e-008
5789	2.2805e-008
5790	2.2543e-008
5791	4.751e-008
5792	6.7066e-008
5793	1.4283e-007
5794	5.5365e-008
5795	7.0393e-008
5796	3.4616e-008
5797	7.744e-008
5798	4.9067e-008
5799	5.1969e-008
5800	4.2021e-008
5801	4.7423e-008
5802	8.5204e-008
5803	1.497e-007
5804	3.916e-008
5805	1.5884e-008
5806	1.7081e-008
5807	1.7881e-006
5808	9.8889e-008
5809	8.8282e-008
5810	1.7115e-007
5811	2.7995e-007
5812	2.1859e-008
5813	4.7034e-007
5814	1.0362e-007
5815	2.8644e-007
5816	9.6972e-007
5817	5.7611e-008
5818	1.2533e-007
5819	1.0862e-006
5820	4.3528e-007
5821	2.3274e-007
5822	8.4357e-008
5823	4.6439e-008
5824	2.2416e-007
5825	1.733e-007
5826	2.5142e-007
5827	1.1813e-006
5828	2.6006e-007
5829	3.8453e-007
5830	2.6503e-007
5831	4.6853e-007
5832	6.4985e-007
5833	1.6408e-007
5834	1.9418e-007
5835	1.0722e-006
5836	4.365e-007
5837	8.0827e-007
5838	4.564e-007
5839	1.1352e-007
5840	1.564e-006
5841	5.8723e-007
5842	2.4012e-007
5843	1.6958e-007
5844	9.8591e-007
5845	2.9257e-007
5846	1.043e-006
5847	5.2429e-007
5848	1.3317e-007
5849	6.7314e-007
5850	3.8533e-007
5851	2.5176e-007
5852	1.3906e-006
5853	1.118e-006
5854	8.956e-007
5855	8.0259e-007
5856	2.4246e-007
5857	4.6824e-007
5858	8.1239e-008
5859	6.5265e-007
5860	2.3557e-007
5861	1.2435e-007
5862	1.0611e-007
5863	1.2935e-006
5864	2.6917e-007
5865	3.7544e-008
5866	2.3505e-007
5867	9.2412e-008
5868	1.0576e-007
5869	7.6718e-007
5870	4.0236e-007
5871	6.4105e-007
5872	6.6771e-007
5873	3.9699e-007
5874	1.066e-007
5875	2.1267e-007
5876	6.5509e-007
5877	5.3816e-007
5878	5.194e-007
5879	6.7791e-007
5880	6.3188e-006
5881	2.5704e-005
5882	8.2657e-007
5883	1.4616e-005
5884	9.5699e-007
5885	8.0386e-007
5886	5.7218e-007
5887	4.9974e-007
5888	6.9519e-007
5889	6.5243e-007
5890	5.1638e-007
5891	1.3053e-006
5892	7.7056e-007
5893	4.2866e-007
5894	4.5361e-007
5895	8.7082e-007
5896	6.5336e-007
5897	5.1723e-007
5898	1.1126e-006
5899	6.9292e-007
5900	2.918e-007
5901	8.2e-007
5902	5.4018e-007
5903	4.3039e-007
5904	4.8941e-007
5905	4.9523e-007
5906	1.3359e-006
5907	5.8518e-007
5908	1.1008e-006
5909	5.5273e-007
5910	7.1731e-007
5911	8.2837e-007
5912	8.8457e-007
5913	4.7477e-007
5914	5.9622e-007
5915	5.0818e-007
5916	6.3693e-007
5917	1.0014e-006
5918	6.0592e-007
5919	4.2241e-007
5920	4.5957e-007
5921	4.0758e-007
5922	3.3624e-007
5923	2.8583e-007
5924	6.633e-007
5925	1.2015e-006
5926	7.7983e-007
5927	7.6293e-007
5928	8.2134e-007
5929	9.507e-007
5930	1.364e-006
5931	1.0194e-006
5932	9.1976e-007
5933	1.0289e-006
5934	5.2641e-007
5935	7.1923e-007
5936	1.2145e-006
5937	1.063e-006
5938	9.1382e-007
5939	1.0188e-006
5940	4.918e-007
5941	9.7148e-007
5942	8.4054e-007
5943	7.1127e-007
5944	2.137e-007
5945	2.2892e-007
5946	2.0737e-007
5947	2.4781e-007
5948	1.3502e-006
5949	1.1078e-006
5950	1.5029e-006
5951	8.4879e-007
5952	8.0986e-007
5953	1.0742e-006
5954	9.1594e-007
5955	5.4644e-007
5956	8.0641e-007
5957	7.1564e-007
5958	6.2291e-007
5959	3.7324e-007
5960	2.5657e-007
5961	2.6565e-007
5962	9.6767e-007
5963	9.5775e-007
5964	1.2131e-006
5965	6.0886e-007
5966	8.2344e-007
5967	6.2796e-007
5968	3.3617e-007
5969	4.018e-007
5970	4.1816e-007
5971	7.9852e-007
5972	1.0689e-006
5973	8.3211e-007
5974	1.6823e-007
5975	8.355e-007
5976	4.822e-007
5977	8.1117e-007
5978	1.1713e-006
5979	7.9152e-007
5980	2.1759e-007
5981	8.332e-007
5982	8.0916e-007
5983	5.1164e-007
5984	6.66e-007
5985	6.6306e-007
5986	7.7603e-007
5987	4.6046e-007
5988	2.9618e-007
5989	5.643e-007
5990	5.7435e-007
5991	4.0859e-007
5992	3.6771e-007
5993	3.7287e-007
5994	7.1065e-007
5995	6.391e-007
5996	5.4503e-007
5997	4.7768e-007
5998	3.4922e-007
5999	2.8366e-007
6000	8.3459e-007
6001	2.8309e-007
6002	6.9924e-007
6003	6.1644e-007
6004	6.5377e-007
6005	4.2191e-007
6006	3.9953e-007
6007	1.0171e-006
6008	3.7748e-007
6009	3.3668e-007
6010	6.6607e-007
6011	4.2911e-007
6012	4.1974e-007
6013	1.1278e-006
6014	7.3714e-007
6015	5.6045e-007
6016	7.9536e-007
6017	8.1908e-007
6018	5.9861e-007
6019	8.6138e-007
6020	3.8298e-007
6021	6.4823e-007
6022	7.0842e-007
6023	6.4595e-007
6024	5.3122e-007
6025	5.0754e-007
6026	5.3103e-007
6027	3.4963e-007
6028	4.691e-007
6029	4.6765e-007
6030	4.5042e-007
6031	3.5174e-007
6032	3.4434e-007
6033	1.3962e-006
6034	1.3142e-006
6035	7.1018e-007
6036	1.4673e-006
6037	1.4665e-006
6038	8.5955e-007
6039	1.0837e-006
6040	5.9441e-007
6041	6.3172e-007
6042	1.0611e-006
6043	3.9821e-007
6044	4.394e-007
6045	1.2379e-006
6046	6.3031e-007
6047	1.0059e-006
6048	5.9486e-007
6049	6.1534e-007
6050	9.928e-007
6051	3.5654e-007
6052	4.2093e-007
6053	1.2463e-006
6054	7.223e-007
6055	6.759e-007
6056	7.2806e-007
6057	7.5041e-007
6058	4.6156e-007
6059	9.8242e-007
6060	1.157e-006
6061	1.6126e-006
6062	1.1858e-006
6063	4.1279e-007
6064	7.6756e-007
6065	8.9283e-007
6066	9.7265e-007
6067	9.1606e-007
6068	8.1227e-007
6069	6.2982e-007
6070	2.0171e-007
6071	4.7466e-007
6072	3.6673e-007
6073	2.2897e-007
6074	1.9474e-007
6075	5.9946e-007
6076	8.4393e-007
6077	2.4429e-007
6078	3.6389e-007
6079	4.3991e-007
6080	2.1138e-007
6081	1.9278e-007
6082	4.4157e-007
6083	9.1338e-007
6084	7.3568e-007
6085	7.2878e-007
6086	7.2553e-007
6087	6.9624e-007
6088	9.6704e-007
6089	5.615e-007
6090	5.4422e-007
6091	5.7203e-007
6092	3.8075e-007
6093	3.5302e-007
6094	3.5241e-007
6095	1.001e-006
6096	4.8122e-007
6097	6.5592e-007
6098	8.2982e-007
6099	6.0788e-007
6100	9.4193e-007
6101	5.4279e-007
6102	1.8383e-007
6103	5.6567e-007
6104	4.3986e-007
6105	4.2696e-007
6106	9.1769e-007
6107	3.5093e-007
6108	6.6171e-007
6109	6.3745e-007
6110	5.2822e-007
6111	1.0304e-006
6112	4.2055e-007
6113	1.7457e-007
6114	5.571e-007
6115	4.0749e-007
6116	4.0839e-007
6117	1.0136e-006
6118	7.0877e-007
6119	8.5389e-007
6120	6.4393e-007
6121	2.2624e-007
6122	5.6174e-007
6123	5.9979e-007
6124	5.6872e-007
6125	3.9875e-007
6126	3.5293e-007
6127	3.3946e-007
6128	6.7319e-007
6129	5.8918e-007
6130	5.0284e-007
6131	5.326e-007
6132	4.9041e-007
6133	4.6491e-006
6134	4.2599e-006
6135	6.2557e-006
6136	6.7869e-006
6137	3.6218e-006
6138	6.1722e-006
6139	3.8745e-006
6140	4.2554e-006
6141	3.4189e-006
6142	6.6759e-006
6143	3.8497e-006
6144	6.2661e-006
6145	3.2359e-006
6146	3.6346e-006
6147	4.2359e-006
6148	2.1668e-006
6149	5.0966e-006
6150	4.2799e-006
6151	2.305e-006
6152	3.5972e-006
6153	2.5906e-006
6154	2.1172e-006
6155	2.7203e-006
6156	1.8809e-006
6157	1.6402e-006
6158	3.8317e-006
6159	3.8136e-006
6160	2.8812e-006
6161	2.8075e-006
6162	1.7127e-006
6163	1.7794e-006
6164	1.7029e-006
6165	1.6958e-006
6166	2.2049e-006
6167	4.7195e-006
6168	5.6106e-006
6169	3.3031e-006
6170	3.4005e-006
6171	2.5897e-006
6172	2.6298e-006
6173	2.6449e-006
6174	2.7551e-006
6175	2.5743e-006
6176	5.0116e-006
6177	5.3906e-006
6178	1.2035e-005
6179	8.6174e-006
6180	5.944e-006
6181	3.0833e-006
6182	5.4135e-006
6183	5.0151e-006
6184	4.4332e-007
6185	2.9053e-006
6186	1.2198e-006
6187	1.3234e-006
6188	3.2291e-006
6189	3.1551e-006
6190	5.7416e-006
6191	4.883e-006
